# {"t_start": 1606647659.6447484, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
237.811422,1000,1417.204178
85957,1000,19.104087
179.395135,1000,28.251774
145.497839,1000,37.45896
154.903274,1000,46.634601
206.78637,1000,55.694946
244.89445,1000,64.838845
164.679727,1000,73.998431
239.830845,1000,83.221823
80.934393,1000,92.433141
262.907777,1000,101.656121
219.449266,1000,110.933732
262.99771,1000,120.143968
183.379201,1000,129.380406
235.451677,1000,138.581207
258.50191,1000,147.885884
201.700149,1000,157.140697
247.421522,1000,166.467295
173.17023,1000,175.676162
244.496296,1000,184.931283
136.619133,1000,194.204041
169.315886,1000,202.811382
192.964115,1000,212.085824
227.944133,1000,221.382125
189.04563,1000,230.689088
235.150254,1000,239.918746
197.194179,1000,249.312763
188.458225,1000,258.701986
190.37101,1000,268.032604
176.89086,1000,277.454822
224.337822,1000,286.878652
218.794452,1000,296.22967
210.631432,1000,305.624784
196.13723,1000,315.089328
174.669822,1000,324.680208
214.087046,1000,334.663385
244.323723,1000,344.7148
226.864548,1000,354.62276
197.65971,1000,364.645393
184.104962,1000,374.522525
220.78742,1000,384.167566
143.779044,1000,393.844643
180.451134,1000,402.743326
181.401484,1000,412.54654
235.10172,1000,422.791017
183.10806,1000,432.674015
197.977783,1000,444.897357
187.201594,1000,457.21066
217.392748,1000,471.161882
193.812769,1000,485.404236
177.024795,1000,499.693382
169.104587,1000,513.839213
221.098986,1000,527.72788
219.31351,1000,543.383862
157.092561,1000,560.546812
187.035129,1000,577.356612
188.117128,1000,597.438808
193.987608,1000,616.192553
232.048654,1000,634.025723
174.903848,1000,651.711968
166.887406,1000,669.333332
178.106061,1000,687.589313
180.22935,1000,704.887931
165.418219,1000,721.883723
226.761664,1000,739.343131
213.99243,1000,757.237457
164.89613,1000,774.855938
208.489282,1000,792.734986
194.175901,1000,810.571913
238.839087,1000,828.475374
220.926755,1000,845.97104
177.416946,1000,863.68555
174.147809,1000,881.387204
235.000206,1000,898.948962
168.621414,1000,917.034369
168.91802,1000,934.812917
165.372541,1000,953.00229
184.865733,1000,970.387291
180.492414,1000,987.95927
225.380538,1000,1005.68271
230.837372,1000,1023.871029
242.447454,1000,1041.329036
173.743431,1000,1059.149714
227.952979,1000,1076.817936
160.650588,1000,1094.595985
157.647723,1000,1111.732457
185.694381,1000,1129.468539
168.756003,1000,1147.380329
167.65123,1000,1164.951307
158.087612,1000,1182.990701
204.955316,1000,1200.3974
213.392475,1000,1218.014916
183.464725,1000,1235.883045
158.359636,1000,1253.235829
174.91035,1000,1270.791047
169.004897,1000,1288.917596
170.683217,1000,1306.861075
174.187166,1000,1324.892763
179.219075,1000,1342.497817
155.181418,1000,1360.059274
167.811562,1000,1377.86371
197.092128,1000,1395.723191
237.813099,1000,1428.990597
158.627186,1000,1446.856931
182.566107,1000,1464.286672
174.289889,1000,1481.620679
167.463169,1000,1498.338525
197.058489,1000,1516.203089
175.072086,1000,1533.397135
195.207159,1000,1551.710567
169.910471,1000,1569.242755
165.43277,1000,1586.792944
171.854964,1000,1604.596194
177.435972,1000,1622.571098
163.030977,1000,1640.221453
220.235469,1000,1658.015097
209.445808,1000,1675.733176
164.994852,1000,1692.884014
165.953531,1000,1710.632638
235.317876,1000,1728.099816
281.051998,1000,1745.568576
190.246986,1000,1763.074239
195.030861,1000,1780.619379
252.282199,1000,1797.782449
206.289375,1000,1815.704652
168.29077,1000,1833.022512
235.960203,1000,1851.005097
165.526608,1000,1867.065429
211.180066,1000,1884.452158
246.498799,1000,1902.691097
169.985137,1000,1920.245974
218.80757,1000,1938.023587
212.706287,1000,1955.815431
205.165294,1000,1974.129833
200.434216,1000,1991.742832
203.755481,1000,2009.170797
170.166993,1000,2026.603544
264.496522,1000,2044.224321
249.493722,1000,2061.937253
181.007803,1000,2079.825994
218.148678,1000,2097.861906
215.018341,1000,2115.523224
230.387184,1000,2134.073997
247.125813,1000,2155.110826
204.128401,1000,2175.726365
232.328406,1000,2195.63727
200.08384,1000,2216.326393
214.464852,1000,2238.083941
216.782288,1000,2258.767983
179.430916,1000,2278.371908
218.982904,1000,2299.994126
217.44166,1000,2320.113768
