# {"t_start": 1606647659.654743, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
231.947297,1000,1417.197006
.94153,1000,18.990326
155.716255,1000,28.139359
206.749385,1000,37.348202
149.978465,1000,46.520239
188.177115,1000,55.579287
175.945388,1000,64.725693
129.883011,1000,73.881944
139.890236,1000,83.111665
172.877097,1000,92.324193
107.036971,1000,101.545187
210.770381,1000,110.817998
193.889955,1000,120.037237
184.185849,1000,129.270778
195.098381,1000,138.466427
198.150106,1000,147.772619
203.936756,1000,157.025509
194.561262,1000,166.355737
174.043702,1000,175.562804
149.299154,1000,184.817885
196.752917,1000,194.095172
177.945928,1000,202.692768
237.279563,1000,211.970206
263.849643,1000,221.275849
199.102286,1000,230.578672
180.377315,1000,239.809568
191.548243,1000,249.201012
245.562315,1000,258.591407
233.004239,1000,267.922253
286.492237,1000,277.344712
309.262456,1000,286.767106
184.263369,1000,296.117686
180.032277,1000,305.514928
182.212511,1000,314.972413
174.619566,1000,324.571095
236.400712,1000,334.547386
195.150351,1000,344.603056
191.718252,1000,354.51132
239.37744,1000,364.532207
170.677663,1000,374.407529
198.032251,1000,384.053962
183.852429,1000,393.727825
189.906379,1000,402.627439
153.864462,1000,412.432536
197.256645,1000,422.681805
199.368285,1000,432.564328
203.357191,1000,444.789112
203.209931,1000,457.107221
191.306102,1000,471.040125
200.715896,1000,485.290068
186.796527,1000,499.579569
170.746716,1000,513.732008
202.752941,1000,527.616408
204.167387,1000,543.27316
237.830345,1000,560.438226
209.191488,1000,577.251394
184.274929,1000,597.322263
203.615128,1000,616.079399
189.992478,1000,633.916396
175.329397,1000,651.606204
177.915756,1000,669.225993
193.993581,1000,687.478925
215.159786,1000,704.780752
214.137454,1000,721.775985
170.022968,1000,739.230712
181.155038,1000,757.128736
215.696086,1000,774.746806
192.394419,1000,792.625924
157.2654,1000,810.463052
208.972317,1000,828.363435
264.805711,1000,845.860513
194.503566,1000,863.575067
284.108834,1000,881.276232
237.721114,1000,898.840054
205.362215,1000,916.923632
284.747082,1000,934.702027
230.010665,1000,952.890503
249.8401,1000,970.276359
179.15872,1000,987.846802
230.466146,1000,1005.569395
232.836012,1000,1023.757125
245.85087,1000,1041.217206
200.573826,1000,1059.040976
205.055441,1000,1076.704494
161.917049,1000,1094.485123
167.01529,1000,1111.623556
171.249346,1000,1129.357662
195.908237,1000,1147.26724
198.996449,1000,1164.841624
170.367424,1000,1182.88193
184.141936,1000,1200.289331
174.251595,1000,1217.905052
182.756448,1000,1235.770096
187.714176,1000,1253.11616
171.77183,1000,1270.680745
185.947573,1000,1288.806709
171.740089,1000,1306.753767
239.281727,1000,1324.783507
202.130938,1000,1342.39134
165.76497,1000,1359.948301
174.373145,1000,1377.756755
192.34429,1000,1395.613993
205.266352,1000,1428.876978
212.245486,1000,1446.748408
173.800998,1000,1464.174774
184.478256,1000,1481.509389
184.791769,1000,1498.225153
191.10579,1000,1516.092191
206.992943,1000,1533.288403
239.349698,1000,1551.598482
204.945471,1000,1569.129417
173.648144,1000,1586.682768
177.030822,1000,1604.48991
180.803205,1000,1622.459182
164.292561,1000,1640.110574
166.799189,1000,1657.907525
164.29796,1000,1675.622509
216.842052,1000,1692.778724
259.945557,1000,1710.519332
235.647142,1000,1727.98647
199.885483,1000,1745.459374
286.757911,1000,1762.963066
184.683851,1000,1780.510066
265.739877,1000,1797.670992
175.455988,1000,1815.598479
177.982247,1000,1832.909357
181.897752,1000,1850.895933
218.272779,1000,1866.958291
206.071425,1000,1884.340162
200.952445,1000,1902.583375
197.155486,1000,1920.137543
195.73578,1000,1937.914761
206.429055,1000,1955.707909
176.114899,1000,1974.020324
231.752763,1000,1991.635677
281.834614,1000,2009.061601
236.448999,1000,2026.490838
193.034718,1000,2044.112858
228.853697,1000,2061.824046
208.120567,1000,2079.71521
285.284479,1000,2097.752948
210.35686,1000,2115.416137
208.991223,1000,2133.963765
197.162007,1000,2154.993655
173.592897,1000,2175.613635
185.550092,1000,2195.516704
218.643846,1000,2216.217318
203.773513,1000,2237.972617
222.562188,1000,2258.671388
231.535025,1000,2278.260801
194.554278,1000,2299.902405
200.969212,1000,2320.005734
