# {"t_start": 1606647659.7314696, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
229.20171,1000,1417.120937
375047,1000,18.893992
213.961057,1000,28.043305
102.918165,1000,37.251046
218.893196,1000,46.425902
189.11203,1000,55.480901
239.198298,1000,64.632358
189.751314,1000,73.782917
185.369472,1000,83.012484
184.291957,1000,92.224734
167.794374,1000,101.445487
236.347928,1000,110.723793
178.268643,1000,119.936238
172.226782,1000,129.170915
199.353478,1000,138.372227
221.97277,1000,147.675909
197.698185,1000,156.930043
198.427523,1000,166.259297
208.198113,1000,175.4684
202.055525,1000,184.721492
180.407977,1000,193.995538
259.307048,1000,202.595455
228.999115,1000,211.875101
192.805557,1000,221.176991
170.925304,1000,230.480669
207.311545,1000,239.711469
188.608945,1000,249.101746
198.745059,1000,258.49428
218.929247,1000,267.824992
179.240617,1000,277.244862
212.190516,1000,286.670748
192.569691,1000,296.016536
242.656312,1000,305.419969
173.368901,1000,314.875988
177.798502,1000,324.474387
204.841405,1000,334.456188
214.318445,1000,344.501081
208.252685,1000,354.412469
196.418774,1000,364.432798
146.251976,1000,374.310574
239.291743,1000,383.960413
224.827229,1000,393.630514
141.608413,1000,402.528899
247.165726,1000,412.336163
177.24522,1000,422.583653
188.02562,1000,432.468227
172.670942,1000,444.689043
178.641575,1000,457.005792
221.83164,1000,470.946996
159.480857,1000,485.202709
196.498297,1000,499.481999
206.921823,1000,513.633368
171.651171,1000,527.517069
177.519121,1000,543.176517
215.316678,1000,560.342982
196.370611,1000,577.158228
202.840997,1000,597.232122
178.351261,1000,615.984935
198.631961,1000,633.824337
171.582436,1000,651.513505
173.704235,1000,669.131261
164.502787,1000,687.386818
216.221913,1000,704.688647
217.392693,1000,721.681411
184.271265,1000,739.139103
161.164374,1000,757.034306
184.188466,1000,774.652355
215.196887,1000,792.530803
197.164119,1000,810.369322
219.231398,1000,828.271138
173.889745,1000,845.770861
160.554314,1000,863.486311
190.521558,1000,881.183529
198.165917,1000,898.746693
178.101223,1000,916.82897
254.855931,1000,934.607309
192.912371,1000,952.79722
159.053616,1000,970.180779
177.16618,1000,987.756565
208.080812,1000,1005.476015
212.669532,1000,1023.664684
234.257589,1000,1041.120951
229.511953,1000,1058.950314
173.811253,1000,1076.608459
163.823845,1000,1094.39064
159.547977,1000,1111.531006
217.915475,1000,1129.263154
187.829734,1000,1147.177129
189.700991,1000,1164.748552
181.29426,1000,1182.790417
234.948943,1000,1200.19433
159.204346,1000,1217.81437
153.726788,1000,1235.67583
230.717751,1000,1253.020743
214.385542,1000,1270.588619
156.150232,1000,1288.712042
165.534361,1000,1306.660617
207.493299,1000,1324.694479
164.60522,1000,1342.294267
175.029728,1000,1359.858342
197.925798,1000,1377.661992
159.457153,1000,1395.518905
167.104989,1000,1428.780615
169.635294,1000,1446.651309
223.09921,1000,1464.083869
236.381776,1000,1481.416478
219.607108,1000,1498.135236
174.161179,1000,1515.997427
187.435623,1000,1533.196846
194.563956,1000,1551.503234
180.363837,1000,1569.042266
191.998714,1000,1586.588227
195.466768,1000,1604.391263
162.198675,1000,1622.361832
202.556844,1000,1640.023906
182.377677,1000,1657.818858
171.967418,1000,1675.529985
171.754075,1000,1692.688303
182.921775,1000,1710.428572
214.398085,1000,1727.89574
223.656776,1000,1745.36457
239.595019,1000,1762.870724
212.132334,1000,1780.417592
213.105503,1000,1797.578025
274.888977,1000,1815.503779
248.345447,1000,1832.812391
196.510412,1000,1850.80226
245.103903,1000,1866.86226
214.484902,1000,1884.245667
185.791955,1000,1902.482647
221.009659,1000,1920.043495
209.966561,1000,1937.821225
271.55942,1000,1955.614895
251.740373,1000,1973.927716
217.903859,1000,1991.542683
276.487394,1000,2008.964522
202.123169,1000,2026.402119
303.323983,1000,2044.020357
209.949528,1000,2061.731174
193.677826,1000,2079.623238
211.955868,1000,2097.658117
152.988647,1000,2115.313852
236.541339,1000,2133.867474
205.377757,1000,2154.895757
243.518795,1000,2175.51656
227.863385,1000,2195.419569
178.57217,1000,2216.10099
219.944989,1000,2237.883926
206.030266,1000,2258.571502
187.111629,1000,2278.168035
227.896863,1000,2299.806421
190.090551,1000,2319.91258
