# {"t_start": 1606647659.4794192, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
215.754851,1000,1417.367304
465648,1000,19.153066
171.048141,1000,28.302292
169.425099,1000,37.511939
240.159206,1000,46.683403
174.759717,1000,55.741431
190.314495,1000,64.889077
153.843641,1000,74.042946
186.152591,1000,83.274093
121.61509,1000,92.483135
222.086118,1000,101.702516
265.314169,1000,110.976688
218.991096,1000,120.19396
201.290841,1000,129.432206
171.048237,1000,138.629708
206.436904,1000,147.932012
211.168742,1000,157.187469
205.251254,1000,166.522418
224.862616,1000,175.725374
189.382277,1000,184.979251
189.882452,1000,194.255024
204.501339,1000,202.861703
191.991591,1000,212.132368
166.339069,1000,221.433797
186.70522,1000,230.737824
159.60769,1000,239.973314
184.525244,1000,249.358305
221.762589,1000,258.752065
233.94817,1000,268.082839
216.354827,1000,277.508857
192.701959,1000,286.929518
231.417913,1000,296.280642
180.482381,1000,305.677404
223.670109,1000,315.136155
186.763209,1000,324.730357
184.213101,1000,334.712162
203.520108,1000,344.768084
219.45752,1000,354.670596
144.613425,1000,364.696164
187.046127,1000,374.574379
163.335364,1000,384.219909
161.595652,1000,393.891043
154.550355,1000,402.787422
160.327466,1000,412.594201
151.267773,1000,422.844244
186.357717,1000,432.722625
199.679087,1000,444.947846
114.896158,1000,457.263136
174.184828,1000,471.208988
222.822615,1000,485.453761
260.289157,1000,499.741854
213.495907,1000,513.884943
177.028505,1000,527.775969
217.936392,1000,543.432251
191.415748,1000,560.591894
180.816708,1000,577.406324
191.360999,1000,597.48413
196.47793,1000,616.238268
164.292341,1000,634.073574
184.274721,1000,651.755869
168.551308,1000,669.381292
199.795147,1000,687.639518
182.014325,1000,704.934671
181.165054,1000,721.931101
186.804941,1000,739.394363
185.695635,1000,757.287694
207.33487,1000,774.903905
199.895871,1000,792.782689
195.912768,1000,810.619581
196.578374,1000,828.524125
269.907257,1000,846.019027
161.105925,1000,863.735823
168.116619,1000,881.436307
182.629588,1000,898.994883
178.844378,1000,917.084631
158.690816,1000,934.860943
227.955886,1000,953.050254
277.474318,1000,970.436283
162.211098,1000,988.007855
209.755396,1000,1005.730491
230.141434,1000,1023.913813
206.95877,1000,1041.378588
188.254987,1000,1059.196905
189.454108,1000,1076.859314
171.813177,1000,1094.645617
217.798429,1000,1111.777037
157.353488,1000,1129.515424
156.145412,1000,1147.428507
232.440022,1000,1164.998801
223.697054,1000,1183.040817
230.279062,1000,1200.44512
167.344759,1000,1218.061789
228.305527,1000,1235.939376
257.819543,1000,1253.270314
164.69981,1000,1270.838877
161.715543,1000,1288.965524
157.884854,1000,1306.908689
191.939056,1000,1324.938932
157.07665,1000,1342.548088
186.10244,1000,1360.107367
179.3262,1000,1377.909585
175.875681,1000,1395.764799
169.7141,1000,1429.035643
156.986802,1000,1446.905008
167.937337,1000,1464.331672
193.364519,1000,1481.67056
161.40408,1000,1498.383711
227.181602,1000,1516.247111
206.055852,1000,1533.445077
167.826205,1000,1551.756582
225.377784,1000,1569.290742
162.176102,1000,1586.841102
170.137197,1000,1604.644327
179.10133,1000,1622.616531
162.465682,1000,1640.269035
281.725324,1000,1658.062517
161.796713,1000,1675.781254
197.602495,1000,1692.93359
224.266181,1000,1710.684772
243.105254,1000,1728.147589
196.329017,1000,1745.614458
209.669661,1000,1763.121661
216.297822,1000,1780.66404
186.492952,1000,1797.827176
189.026288,1000,1815.750769
253.381408,1000,1833.066019
219.084876,1000,1851.051257
230.157351,1000,1867.11568
223.528674,1000,1884.500026
241.090708,1000,1902.741939
228.27842,1000,1920.292364
208.36785,1000,1938.069604
192.490574,1000,1955.863431
196.168355,1000,1974.181952
174.700662,1000,1991.78668
188.249924,1000,2009.216842
205.186445,1000,2026.651728
179.907539,1000,2044.278219
180.025059,1000,2061.985011
213.841354,1000,2079.873507
198.817873,1000,2097.907897
193.996718,1000,2115.573445
218.615809,1000,2134.124292
196.322951,1000,2155.14516
265.285099,1000,2175.774589
189.072582,1000,2195.673791
216.057729,1000,2216.361606
220.402862,1000,2238.127279
225.21351,1000,2258.830693
201.344118,1000,2278.419867
219.917133,1000,2300.039949
194.807095,1000,2320.161682
