# {"t_start": 1606763189.1921947, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
167.74426,1000,1844.911104
199.941167,1000,3632.184747
395.084563,1000,5390.788847
453.346484,1000,7151.82634
684.934679,1000,8911.077095
730.710247,1000,10678.846995
765.433419,1000,12443.270196
759.425531,1000,14210.008708
834.404885,1000,15976.082528
809.4693,1000,17739.606932
860.734357,1000,19500.941306
684.589966,1000,21267.542274
845.3416,1000,23031.688205
784.013662,1000,24799.135798
805.184877,1000,26588.434047
867.544791,1000,28372.825373
676.557878,1000,30128.507911
782.45236,1000,31326.172441
857.773764,1000,32505.718338
781.915067,1000,33694.956651
839.6226,1000,34871.720478
.034353,1000,285.920622
111.030292,1000,301.61658
160.264902,1000,319.555594
164.10505,1000,336.44024
227.187599,1000,354.715963
154.417824,1000,374.881253
183.637144,1000,394.058836
197.35474,1000,415.362639
245.232838,1000,435.152943
112.430494,1000,453.112319
201.708168,1000,471.088075
223.959531,1000,489.145339
180.811432,1000,507.501944
138.969202,1000,525.323189
148.354716,1000,543.331601
215.343258,1000,561.587542
172.671957,1000,579.582355
250.70583,1000,597.682394
170.970179,1000,615.767697
226.097632,1000,633.852723
172.723301,1000,655.218039
189.436487,1000,673.549105
185.846139,1000,691.762934
188.569108,1000,711.400102
191.027513,1000,731.70681
196.167997,1000,751.280065
172.946013,1000,770.840235
159.222319,1000,789.855592
165.590185,1000,808.16554
185.159455,1000,826.694726
208.343315,1000,847.002224
220.093585,1000,865.556455
168.239769,1000,883.739341
210.634498,1000,902.029523
168.834604,1000,921.484111
210.153108,1000,940.886319
198.470141,1000,958.472864
246.943446,1000,977.162963
202.486396,1000,998.960875
242.945242,1000,1022.319382
211.759738,1000,1042.957465
258.609442,1000,1066.066778
242.294796,1000,1087.778453
223.836851,1000,1109.220866
222.265708,1000,1130.00271
226.39517,1000,1151.473614
258.392999,1000,1172.122297
167.314686,1000,1192.603496
272.403503,1000,1213.307267
137.53599,1000,1233.906388
179.309216,1000,1253.661779
209.068534,1000,1275.412072
188.530167,1000,1297.726945
175.055578,1000,1320.245908
148.610398,1000,1342.994814
199.958288,1000,1365.904536
218.710484,1000,1388.337317
171.937818,1000,1409.362058
218.557516,1000,1430.19556
239.361871,1000,1449.393821
173.766683,1000,1468.488935
189.953847,1000,1487.740045
262.9534,1000,1506.118194
203.248095,1000,1525.629689
174.08018,1000,1545.01314
190.360192,1000,1564.352936
256.436971,1000,1583.371539
204.71151,1000,1602.899159
223.568958,1000,1622.978189
234.534944,1000,1642.175006
176.671823,1000,1662.878978
211.741831,1000,1682.581812
197.519557,1000,1702.372789
213.375387,1000,1721.936468
181.819491,1000,1741.751312
196.859056,1000,1761.218879
232.227403,1000,1780.447393
221.207921,1000,1799.958722
202.271727,1000,1819.12877
189.697533,1000,1857.28383
162.507637,1000,1877.203187
231.488835,1000,1898.801928
224.226349,1000,1919.375442
184.907141,1000,1937.668159
178.640815,1000,1956.738585
159.200822,1000,1976.9234
279.795783,1000,1995.981374
164.058137,1000,2015.242611
218.722804,1000,2034.081108
226.585559,1000,2053.237956
217.848062,1000,2072.268161
183.828048,1000,2091.063452
230.107696,1000,2110.076761
196.09898,1000,2129.844515
271.501803,1000,2147.348873
173.725913,1000,2164.91843
225.961248,1000,2182.423852
177.719168,1000,2199.429252
155.817209,1000,2216.439276
176.793651,1000,2233.305122
285.962184,1000,2250.0367
222.040112,1000,2266.895776
134.941157,1000,2283.937917
199.030188,1000,2301.01555
184.540919,1000,2317.119477
147.377351,1000,2334.327481
197.929467,1000,2351.17889
246.799379,1000,2367.867949
177.661125,1000,2384.653973
203.805767,1000,2401.702042
232.467388,1000,2418.854599
220.110182,1000,2436.003282
206.982114,1000,2453.21155
151.679146,1000,2470.233449
152.423716,1000,2487.085301
232.730557,1000,2504.342869
139.348628,1000,2521.164977
156.089263,1000,2538.060833
138.061559,1000,2554.868102
142.860516,1000,2571.96756
154.476192,1000,2588.804957
152.823037,1000,2605.666121
141.790221,1000,2622.619978
148.917714,1000,2639.450207
150.91793,1000,2656.25511
142.577857,1000,2673.344859
232.910746,1000,2689.401206
208.120203,1000,2706.473106
173.602693,1000,2723.105383
167.935278,1000,2740.162435
238.576873,1000,2757.210914
162.242493,1000,2773.837319
171.491316,1000,2791.085375
146.60113,1000,2808.322625
174.595169,1000,2825.311804
245.319695,1000,2842.276938
230.322708,1000,2859.374928
205.329728,1000,2876.668903
232.585528,1000,2893.676262
215.102092,1000,2910.656151
240.663782,1000,2927.616194
224.173726,1000,2944.514454
213.579703,1000,2961.549529
176.535197,1000,2978.418744
208.203496,1000,2995.303294
162.317289,1000,3012.412472
205.191069,1000,3029.411693
195.712661,1000,3045.072052
206.653521,1000,3062.199085
227.694338,1000,3079.327259
275.349901,1000,3096.218873
160.970508,1000,3113.114506
168.541679,1000,3130.219157
187.202519,1000,3147.469174
284.299167,1000,3164.573421
234.924161,1000,3181.839756
262.318171,1000,3198.617803
246.948763,1000,3215.231242
220.773986,1000,3232.034709
220.622926,1000,3248.978127
213.834292,1000,3265.844283
210.650985,1000,3282.608626
246.565707,1000,3299.457237
185.824804,1000,3316.253101
256.348538,1000,3333.708505
206.93305,1000,3350.680323
234.21911,1000,3367.510409
172.914453,1000,3384.698259
169.450126,1000,3400.472821
170.936656,1000,3417.58486
180.214662,1000,3434.336874
301.950913,1000,3451.43404
210.686128,1000,3468.343074
297.311428,1000,3485.199764
201.668855,1000,3502.032143
273.916036,1000,3518.972661
190.932297,1000,3536.359988
172.908571,1000,3553.269652
169.040337,1000,3570.124742
180.692164,1000,3587.395473
170.743208,1000,3604.571384
229.320909,1000,3636.277966
168.670152,1000,3653.15336
159.791077,1000,3669.670691
176.600104,1000,3686.575934
330.768302,1000,3703.574282
274.110846,1000,3721.43473
221.254942,1000,3738.433216
195.740491,1000,3755.208194
180.589055,1000,3772.304049
164.628608,1000,3788.182007
167.988271,1000,3805.140095
180.662207,1000,3822.536486
169.982858,1000,3839.337517
238.785398,1000,3856.06429
203.759208,1000,3873.280216
206.560899,1000,3890.607299
243.991042,1000,3907.654546
166.165496,1000,3924.57932
220.485227,1000,3941.540378
187.045633,1000,3958.044761
286.36887,1000,3975.180966
202.711371,1000,3992.25147
178.291757,1000,4009.122176
165.177222,1000,4026.136945
172.586796,1000,4043.178077
239.110159,1000,4059.582956
294.816682,1000,4076.78019
234.969415,1000,4093.85458
273.201639,1000,4110.672255
204.342049,1000,4127.593625
180.028942,1000,4144.142197
182.626177,1000,4161.333423
179.204873,1000,4178.43874
267.384426,1000,4195.390977
168.617532,1000,4212.391102
227.731311,1000,4229.2683
281.997595,1000,4246.390158
180.137397,1000,4263.368286
289.853001,1000,4280.297844
253.457922,1000,4297.317726
236.452878,1000,4314.343366
263.518014,1000,4330.946649
260.06096,1000,4348.154715
249.373755,1000,4365.535644
224.36755,1000,4382.771918
316.074703,1000,4400.034686
319.24329,1000,4417.55975
350.055237,1000,4434.558475
376.444085,1000,4451.53123
311.24261,1000,4468.780978
375.464704,1000,4485.951639
229.782042,1000,4501.848565
263.128405,1000,4519.282128
309.867393,1000,4536.441428
292.499871,1000,4553.216416
224.311838,1000,4570.10296
248.913738,1000,4586.735889
380.529778,1000,4603.627281
294.416929,1000,4620.443251
208.205389,1000,4637.595082
203.56393,1000,4654.542921
256.931705,1000,4671.707417
271.17237,1000,4688.631749
259.750001,1000,4706.011946
300.447258,1000,4723.248796
268.90047,1000,4740.39868
221.4777,1000,4757.398881
271.559757,1000,4773.924978
261.94998,1000,4790.631033
406.597768,1000,4807.377033
278.729666,1000,4824.319728
272.253066,1000,4841.398779
286.901089,1000,4858.519648
262.52793,1000,4874.78471
308.906953,1000,4891.629302
203.399662,1000,4908.604775
306.480891,1000,4925.807025
338.767211,1000,4942.867744
299.862021,1000,4959.688219
383.554952,1000,4976.482134
355.477874,1000,4993.450979
291.628487,1000,5011.952857
354.441147,1000,5030.612506
304.674215,1000,5047.961272
248.39334,1000,5065.116795
413.189974,1000,5082.279114
319.020986,1000,5099.082119
305.60727,1000,5115.962038
311.002726,1000,5133.106122
281.414512,1000,5150.491378
296.681826,1000,5167.500536
357.108604,1000,5184.48752
321.585353,1000,5201.997251
323.633668,1000,5219.088222
367.035743,1000,5235.26633
322.238538,1000,5252.351259
325.921195,1000,5269.553085
322.04813,1000,5286.692816
347.433455,1000,5304.072406
294.766635,1000,5321.136201
357.78237,1000,5338.266365
350.214058,1000,5355.627141
365.378791,1000,5372.759261
374.654996,1000,5405.067103
296.429192,1000,5422.260387
309.429291,1000,5439.548779
324.814256,1000,5456.670384
410.286294,1000,5473.554863
363.732971,1000,5490.470509
330.718312,1000,5507.536164
479.732509,1000,5524.823018
336.119969,1000,5542.273503
406.31618,1000,5559.316263
379.379557,1000,5576.702443
310.755544,1000,5593.922791
400.647878,1000,5609.760396
370.060033,1000,5627.101325
316.379193,1000,5644.290219
322.651765,1000,5661.343627
358.162925,1000,5678.363804
384.958106,1000,5695.463033
348.525102,1000,5712.70893
396.112974,1000,5729.956081
376.250671,1000,5747.541863
470.392278,1000,5764.660708
328.816713,1000,5781.604875
489.974287,1000,5798.328315
432.372705,1000,5815.372977
481.912493,1000,5832.354236
346.043155,1000,5849.434379
346.074665,1000,5866.584986
358.918451,1000,5883.776564
415.877762,1000,5900.931249
426.675535,1000,5917.751655
359.768608,1000,5934.896829
360.980443,1000,5951.718746
324.21972,1000,5968.682688
391.621241,1000,5984.926666
372.532276,1000,6002.247273
359.379365,1000,6019.145035
439.556295,1000,6035.924547
350.802979,1000,6052.945396
431.447998,1000,6070.026218
354.005731,1000,6087.280508
400.105559,1000,6104.717134
381.052722,1000,6121.472841
355.121252,1000,6138.466235
403.857562,1000,6155.284038
464.983633,1000,6172.191302
432.655369,1000,6189.111349
426.14379,1000,6206.187985
416.628896,1000,6223.4865
461.7697,1000,6240.711145
409.432178,1000,6257.562493
431.072551,1000,6275.144808
294.944099,1000,6292.298431
366.169426,1000,6309.010026
359.666859,1000,6325.730619
