# {"t_start": 1606763228.399344, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
272.192469,1000,1892.257809
297.617087,1000,3674.052456
400.55498,1000,5443.563065
478.680606,1000,7218.435004
571.870429,1000,8992.444242
663.320654,1000,10768.437806
736.911798,1000,12538.804375
807.006774,1000,14315.699605
829.460007,1000,16090.501246
730.360415,1000,17860.742945
770.139055,1000,19630.237224
756.504571,1000,21402.578451
766.149511,1000,23174.810004
621.856598,1000,24952.516652
760.856784,1000,26747.351926
865.808763,1000,28539.371993
824.503337,1000,30240.659744
223.645255,1000,31430.039302
575.457765,1000,32607.611283
428.46997,1000,33806.389507
818.399979,1000,34976.887391

134.461154,1000,310.568363
165.300771,1000,331.563933
162.604722,1000,350.021749
176.667673,1000,370.842838
55.564663,1000,391.722557
182.245559,1000,409.907954
138.343346,1000,427.911306
203.819208,1000,446.429935
178.694018,1000,465.118163
179.059118,1000,483.015653
163.611572,1000,501.555727
151.178826,1000,519.601991
227.822533,1000,537.808222
142.095539,1000,555.97875
214.371593,1000,574.379026
219.086969,1000,593.574292
137.995414,1000,614.777697
164.494668,1000,633.390735
150.364777,1000,651.808499
157.412781,1000,670.029596
224.303124,1000,691.1903
254.170253,1000,711.050308
162.505893,1000,730.311544
194.616327,1000,749.815404
239.743145,1000,767.854064
231.082428,1000,786.599319
187.409991,1000,806.245973
139.583573,1000,825.067274
215.709271,1000,843.480163
127.935187,1000,861.985346
151.840159,1000,881.689061
120.5689,1000,901.572248
196.477262,1000,919.802391
198.212437,1000,938.679381
201.623456,1000,960.428563
150.292589,1000,984.322574
213.726546,1000,1005.62888
198.33719,1000,1028.954185
240.742701,1000,1050.744348
196.92676,1000,1072.128026
207.174836,1000,1092.908264
220.735746,1000,1114.583891
254.948859,1000,1135.323936
223.591877,1000,1155.913978
211.186469,1000,1176.936111
166.836669,1000,1197.85029
98.928114,1000,1218.792477
173.972233,1000,1239.922327
192.27947,1000,1262.107685
206.574503,1000,1284.823207
198.573167,1000,1308.070464
177.016934,1000,1330.963764
198.417907,1000,1352.985077
194.323231,1000,1374.098489
144.581723,1000,1394.889446
211.217764,1000,1413.776231
116.770817,1000,1433.164049
173.397631,1000,1452.915865
284.345853,1000,1472.834308
220.925725,1000,1492.31042
187.80208,1000,1511.638882
244.770589,1000,1531.363051
197.502447,1000,1549.67053
205.935945,1000,1569.149776
165.383082,1000,1589.09265
186.371205,1000,1607.877494
253.071003,1000,1629.319985
268.957159,1000,1647.90528
219.817656,1000,1668.448356
216.505376,1000,1688.254326
208.049714,1000,1707.439795
232.162361,1000,1726.614871
256.707413,1000,1746.462763
265.763882,1000,1765.845391
257.607803,1000,1785.35793
230.945368,1000,1806.276907
200.038617,1000,1825.422147
203.801802,1000,1846.317726
184.171338,1000,1867.688074
234.334732,1000,1905.116155
255.004455,1000,1924.406365
283.457564,1000,1944.225448
200.377346,1000,1963.358449
201.297461,1000,1981.644636
168.283563,1000,2000.91485
243.565771,1000,2019.844398
248.211256,1000,2038.579094
244.51561,1000,2057.401321
206.95024,1000,2077.590123
202.55239,1000,2096.324251
247.954366,1000,2113.963259
222.076773,1000,2131.617803
190.5282,1000,2149.133537
186.487186,1000,2166.274396
282.275018,1000,2183.047939
223.062411,1000,2199.848373
197.181675,1000,2217.552537
228.112792,1000,2234.761458
196.410556,1000,2252.058785
223.405741,1000,2268.43978
