# {"t_start": 1606583638.235502, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
186.491765,1000,1677.572325
190.729311,1000,3559.231985
286.028009,1000,5505.315055
312.649989,1000,7274.098239
570.041331,1000,9071.533602
574.623731,1000,10870.307646
763.581117,1000,12665.244596
814.544477,1000,14458.657233
809.953142,1000,16259.801982
804.162526,1000,18058.234069
857.267144,1000,19859.162462
762.396982,1000,21661.94931
711.659849,1000,23461.599856
756.292424,1000,25261.586446
794.7837,1000,27058.338346
820.027616,1000,28855.934949
852.017255,1000,30651.375719
700.829059,1000,32447.362345
850.387696,1000,34240.70021
779.432978,1000,36025.467983
823.222876,1000,37784.068998
835.757202,1000,39549.790838
666.266179,1000,41321.258719
2906,1000,370.667279
196.287209,1000,388.20466
158.942054,1000,406.36769
211.256413,1000,423.579519
280.173296,1000,440.996436
167.792531,1000,458.40254
148.340832,1000,476.12882
162.259993,1000,493.464969
169.077466,1000,511.144953
270.109192,1000,528.266521
195.819872,1000,545.011169
175.360421,1000,561.704127
151.787187,1000,579.524106
262.23246,1000,596.319583
197.219552,1000,613.076366
172.547501,1000,630.139127
181.23455,1000,647.347053
157.856628,1000,663.551933
155.243546,1000,680.362644
151.076693,1000,697.398671
181.681192,1000,714.50868
203.384453,1000,731.251353
260.204593,1000,747.980359
175.760331,1000,764.96026
194.414759,1000,782.296957
288.329151,1000,798.973872
138.659468,1000,815.679902
202.002617,1000,832.483169
281.093716,1000,849.615631
299.021625,1000,866.561897
219.39566,1000,883.656386
236.493829,1000,901.167944
195.568084,1000,918.018408
156.812477,1000,934.525199
203.650863,1000,951.132584
247.146543,1000,967.959905
226.651627,1000,984.73085
266.216184,1000,1001.80227
241.803436,1000,1017.332952
185.244533,1000,1033.921299
182.139658,1000,1051.090327
191.450228,1000,1067.839242
248.286131,1000,1084.687304
332.155984,1000,1102.328074
227.750273,1000,1119.622477
201.787358,1000,1136.400993
135.454193,1000,1152.885161
246.455209,1000,1169.931351
264.474952,1000,1186.77439
180.12572,1000,1203.488395
254.892492,1000,1220.179469
249.106059,1000,1236.838867
233.712662,1000,1253.63684
270.393234,1000,1270.566043
203.07157,1000,1287.460597
232.108949,1000,1304.421293
232.415585,1000,1321.029167
228.610041,1000,1338.003825
184.351965,1000,1355.15272
217.530166,1000,1371.878467
285.892159,1000,1387.276239
254.572333,1000,1404.24088
250.470774,1000,1421.16212
226.94505,1000,1438.360858
262.899122,1000,1454.731541
206.467905,1000,1471.948656
213.552822,1000,1488.456736
255.544574,1000,1505.09726
192.669361,1000,1522.098938
212.181523,1000,1538.972872
274.449965,1000,1555.815956
214.01349,1000,1573.006186
178.92654,1000,1589.831283
257.236014,1000,1606.796627
158.049023,1000,1623.624506
218.148463,1000,1640.444536
209.904171,1000,1657.36769
244.734513,1000,1688.1695
248.780388,1000,1704.892315
227.442389,1000,1722.470634
278.950409,1000,1739.541369
221.064078,1000,1755.658497
225.548561,1000,1772.338713
235.708997,1000,1789.245247
255.197664,1000,1806.155598
219.891205,1000,1822.915007
232.547527,1000,1840.247682
266.4734,1000,1856.775215
233.64893,1000,1873.688938
238.86048,1000,1890.368895
217.749001,1000,1906.979194
210.248336,1000,1923.918903
202.035188,1000,1941.286677
219.330058,1000,1959.983445
279.563179,1000,1976.908649
283.712508,1000,1994.253651
211.245688,1000,2011.192771
277.384283,1000,2027.594723
254.918867,1000,2044.473741
260.493984,1000,2061.381699
307.917775,1000,2078.865158
245.683105,1000,2098.203458
221.902403,1000,2116.193027
347.937324,1000,2135.111601
284.53837,1000,2153.806378
193.801807,1000,2172.21826
222.122197,1000,2190.639893
278.264633,1000,2209.084854
192.700142,1000,2227.526526
199.246732,1000,2247.624123
224.726383,1000,2266.176396
226.55692,1000,2284.313133
222.92304,1000,2302.819329
206.322445,1000,2321.167412
203.986861,1000,2339.675609
220.49295,1000,2358.225611
160.505442,1000,2377.20326
