# {"t_start": 1606650403.945046, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
231.667926,1000,1711.645514
242.623736,1000,3508.940717
429.994465,1000,5302.223237
559.072911,1000,7102.326446
500.288267,1000,8901.284138
766.10001,1000,10693.550293
752.699482,1000,12493.045011
797.12862,1000,14298.031885
837.196205,1000,16004.114283
808.289196,1000,17608.965526
847.165867,1000,19299.624962
853.926385,1000,20869.575962
601.981619,1000,22260.169989
026942,1000,178.247168
143.249656,1000,197.809809
233.131192,1000,215.631098
248.679648,1000,233.975482
207.773563,1000,253.4225
225.558554,1000,272.886636
225.876089,1000,290.103138
284.913211,1000,306.810099
234.294144,1000,323.843404
237.103104,1000,340.732687
233.706133,1000,357.704895
233.657014,1000,374.87808
251.726867,1000,392.278954
298.55298,1000,409.504539
210.386965,1000,427.112561
208.342813,1000,444.402658
258.24769,1000,461.667671
268.874212,1000,478.934365
293.346796,1000,496.398049
293.361543,1000,513.792027
249.36287,1000,531.061053
226.91704,1000,548.363338
247.718426,1000,565.775462
242.445404,1000,583.345965
229.750544,1000,600.416382
170.896376,1000,617.471476
271.972295,1000,634.661121
300.741648,1000,651.996814
204.934794,1000,668.118511
165.784221,1000,684.567587
213.160137,1000,702.526774
173.380899,1000,719.870565
199.8265,1000,737.431165
229.993156,1000,754.796461
225.658702,1000,771.870464
151.864998,1000,788.870102
178.716855,1000,806.264611
240.908154,1000,823.949593
275.354904,1000,841.33189
218.344952,1000,858.728618
206.577106,1000,875.543971
257.426893,1000,892.621819
226.810096,1000,910.084462
244.702594,1000,927.751866
308.565758,1000,944.595132
362.273519,1000,962.053146
253.642596,1000,979.526962
287.671922,1000,997.14624
211.767079,1000,1014.38025
211.671262,1000,1031.036384
201.571364,1000,1048.19983
188.892915,1000,1065.40188
242.377665,1000,1082.758576
181.292002,1000,1100.449638
179.712136,1000,1118.155345
244.267133,1000,1135.245097
232.266199,1000,1152.29293
325.131307,1000,1169.692521
287.175934,1000,1187.554071
221.949184,1000,1204.950759
233.275105,1000,1221.708694
161.206012,1000,1239.008125
224.635243,1000,1256.596537
247.500665,1000,1274.106804
288.202689,1000,1291.529357
