# {"t_start": 1606650403.6765025, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
198.813995,1000,1711.906766
247.01073,1000,3509.202701
431.367689,1000,5302.480692
483.273874,1000,7102.586434
518.175846,1000,8901.546302
765.795693,1000,10693.811428
754.342896,1000,12493.307619
799.226392,1000,14298.287709
827.893926,1000,16004.373966
811.679208,1000,17609.225852
846.257968,1000,19299.88874
790.818124,1000,20869.840544
350.980584,1000,22260.43665
54,1000,178.493054
233.853783,1000,198.056412
216.307383,1000,215.883722
201.833618,1000,234.225637
252.527623,1000,253.674856
221.115376,1000,273.134923
233.837183,1000,290.350664
260.204221,1000,307.053174
258.556855,1000,324.091992
317.899657,1000,340.97993
227.278644,1000,357.951399
206.82324,1000,375.126405
247.42687,1000,392.532479
309.105803,1000,409.749449
210.538088,1000,427.35764
272.715574,1000,444.64414
286.046356,1000,461.91399
248.308204,1000,479.179178
299.128903,1000,496.64462
258.411885,1000,514.040136
263.965469,1000,531.304757
296.620528,1000,548.611876
201.491191,1000,566.016264
194.409084,1000,583.590709
221.013867,1000,600.663455
239.998371,1000,617.720324
196.981539,1000,634.906611
280.599554,1000,652.246801
290.790836,1000,668.365595
241.72587,1000,684.816355
132.571151,1000,702.771054
191.629966,1000,720.119766
178.552058,1000,737.679965
232.884625,1000,755.043377
184.406227,1000,772.115318
205.354195,1000,789.118462
274.742877,1000,806.513278
295.121556,1000,824.195605
179.139099,1000,841.573561
184.033662,1000,858.968413
256.040033,1000,875.795368
180.88002,1000,892.866692
215.604002,1000,910.327499
232.617795,1000,927.996114
190.901115,1000,944.837229
217.856566,1000,962.301966
236.232552,1000,979.768981
186.857902,1000,997.390917
198.678288,1000,1014.629997
274.174036,1000,1031.283242
218.042174,1000,1048.444413
220.028986,1000,1065.635326
252.813722,1000,1083.006408
286.636285,1000,1100.697721
199.486561,1000,1118.400082
270.980355,1000,1135.487152
277.78382,1000,1152.536188
278.510098,1000,1169.935039
219.22385,1000,1187.800636
230.39411,1000,1205.192078
222.9837,1000,1221.95281
254.517052,1000,1239.24276
300.419807,1000,1256.841594
240.442156,1000,1274.352315
231.78789,1000,1291.770727
301.525324,1000,1309.037198
260.048997,1000,1326.410989
265.993979,1000,1343.644251
259.702518,1000,1361.046803
249.670774,1000,1378.583535
318.625938,1000,1395.688338
215.64124,1000,1412.085943
191.852321,1000,1429.502688
266.362037,1000,1446.813558
231.610681,1000,1463.852973
219.770599,1000,1481.221729
340.465897,1000,1498.298185
205.32586,1000,1515.40685
278.40111,1000,1534.123913
205.997814,1000,1552.076187
237.848538,1000,1569.674304
245.301433,1000,1587.017393
213.654814,1000,1604.180259
244.380582,1000,1621.60039
225.081061,1000,1638.755504
259.908536,1000,1656.450145
217.985579,1000,1673.899833
