# {"t_start": 1606650440.326479, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
179.300774,1000,1739.403473
308.708715,1000,3536.973846
243.901483,1000,5326.004277
544.195771,1000,7124.420854
245.778515,1000,8913.930792
678.999668,1000,10701.320072
736.461742,1000,12495.57055
201.61812,1000,14300.995563
838.097905,1000,15999.599838
824.993167,1000,17594.676186
813.166618,1000,19274.745509
842.672595,1000,20842.077057
815.66895,1000,22228.001315
,1000,220.609242
101.702954,1000,239.395993
116.307666,1000,256.411791
33.306464,1000,273.752534
204.610802,1000,291.015085
107.333221,1000,307.9296
111.629933,1000,325.351456
57.894538,1000,341.858001
69.343415,1000,359.123769
30.069829,1000,376.265709
44.454845,1000,393.150232
69.503724,1000,410.657215
63.260041,1000,427.773751
117.186334,1000,444.930342
130.361722,1000,462.277647
132.985071,1000,479.085199
126.226256,1000,496.429902
164.544281,1000,513.571656
230.988076,1000,530.644851
104.535833,1000,547.875578
111.277121,1000,565.230153
177.738021,1000,582.092627
162.358364,1000,599.04939
214.505127,1000,615.990973
175.470031,1000,633.476025
181.394402,1000,650.225625
184.782192,1000,667.373191
108.38392,1000,684.250733
223.370696,1000,700.707622
156.083254,1000,718.913862
230.36449,1000,736.000643
141.63999,1000,753.314472
183.390253,1000,770.02574
140.771519,1000,787.369551
210.337801,1000,804.355299
259.534265,1000,821.509574
211.001689,1000,838.223146
236.672341,1000,855.521688
181.184936,1000,873.212929
127.425759,1000,890.993011
82.655893,1000,908.108784
170.601322,1000,925.232828
216.824542,1000,942.358784
175.083644,1000,959.874411
252.72393,1000,977.328184
204.263976,1000,995.051296
275.211326,1000,1012.055768
207.643948,1000,1029.136374
149.661837,1000,1046.42475
216.799057,1000,1063.187383
215.141014,1000,1080.702503
134.555293,1000,1097.942128
183.370179,1000,1115.100326
230.255009,1000,1132.102204
175.185816,1000,1149.566542
268.226306,1000,1166.997377
202.441656,1000,1184.239729
214.782494,1000,1201.355381
202.012584,1000,1218.413191
143.171349,1000,1235.747986
219.081435,1000,1253.272504
260.752367,1000,1269.931718
227.517565,1000,1287.291983
185.961967,1000,1304.577972
208.583957,1000,1321.328652
159.296692,1000,1338.123497
145.482891,1000,1355.342856
219.249471,1000,1372.2748
191.382694,1000,1389.496262
186.266949,1000,1406.436193
153.132883,1000,1423.276638
180.693371,1000,1439.280107
144.91963,1000,1456.53732
179.941135,1000,1473.982334
133.7211,1000,1492.09304
205.183166,1000,1510.180993
216.156973,1000,1527.571094
228.550598,1000,1544.577734
215.265174,1000,1561.876187
241.256948,1000,1579.217755
74.779392,1000,1596.395155
181.381475,1000,1613.998171
239.935132,1000,1631.21542
138.063484,1000,1648.396133
271.59361,1000,1665.421486
181.020607,1000,1682.773818
185.959742,1000,1700.070564
194.615068,1000,1717.845065
250.277683,1000,1750.609056
227.317905,1000,1767.727818
283.386869,1000,1785.024529
215.912831,1000,1802.813261
240.481425,1000,1821.355079
193.562059,1000,1840.823885
134.003437,1000,1858.126559
204.832843,1000,1875.552683
217.680055,1000,1892.960236
227.677297,1000,1910.108879
217.645079,1000,1927.891966
109.533347,1000,1945.042415
207.695978,1000,1962.381825
186.621869,1000,1979.386463
159.412298,1000,1996.996553
295.481331,1000,2014.51382
219.736006,1000,2031.878403
213.256159,1000,2049.655911
214.536936,1000,2066.684216
222.131978,1000,2083.874153
248.529766,1000,2101.459372
60.916346,1000,2118.99247
184.702654,1000,2136.43631
87.837823,1000,2153.766002
202.438018,1000,2171.511535
223.830654,1000,2187.707941
167.287925,1000,2204.807609
192.915983,1000,2222.246438
191.851141,1000,2239.599822
192.25387,1000,2256.993012
152.001639,1000,2274.462617
150.991317,1000,2291.300125
108.641968,1000,2308.843255
188.873313,1000,2326.685951
250.108249,1000,2343.73714
173.220797,1000,2361.423992
68.330332,1000,2378.544433
228.737926,1000,2396.086976
223.557739,1000,2413.833455
207.869662,1000,2431.174672
201.747139,1000,2448.09866
192.509502,1000,2465.496261
239.049423,1000,2483.271577
121.210834,1000,2500.987342
203.976718,1000,2518.328675
236.074425,1000,2535.57788
160.215341,1000,2553.109822
261.029552,1000,2570.058656
229.18079,1000,2587.577896
321.056068,1000,2605.337336
