# {"t_start": 1606763121.7312298, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
252.940924,1000,1742.392492
227.569666,1000,3536.601389
528.136432,1000,5273.219175
559.09819,1000,7017.62414
819.031444,1000,8760.693067
729.488311,1000,10510.092044
769.594748,1000,12256.204339
842.426144,1000,14005.472023
235.392363,1000,15748.026142
842.269785,1000,17494.76766
679.014422,1000,19235.009951
272.214744,1000,20980.890107
705.340501,1000,22732.695598
622.831559,1000,24488.561656
605.306767,1000,26251.915026
232.935351,1000,28016.126084
728.377005,1000,29784.538326
246.626857,1000,31102.151595
800.738942,1000,32271.877043
700.698739,1000,33432.169927
685.301783,1000,34612.450938

186.87206,1000,248.570133
200.419193,1000,260.107399
304.423824,1000,271.889267
219.497782,1000,285.017215
309.137028,1000,296.888808
27.58874,1000,308.613337
222.426252,1000,320.478539
149.765694,1000,335.087295
182.045381,1000,350.490659
192.669532,1000,366.332957
223.672918,1000,383.204878
297.189797,1000,400.861959
218.540118,1000,417.794585
163.071721,1000,438.774604
199.708719,1000,456.695627
200.30196,1000,477.613408
209.281595,1000,498.395101
186.672237,1000,516.375213
203.266746,1000,534.637573
192.4424,1000,551.403615
262.500668,1000,569.302943
235.621488,1000,587.248283
198.626749,1000,605.169001
205.130884,1000,623.15174
211.773758,1000,640.853653
171.589064,1000,658.836563
180.328655,1000,676.991922
235.582844,1000,695.713261
258.358972,1000,716.570108
203.423231,1000,735.539464
206.912298,1000,753.549609
303.660415,1000,771.912849
248.666142,1000,793.24855
235.791703,1000,812.71666
127.257417,1000,832.530374
105.467046,1000,851.720474
131.230301,1000,870.024924
255.138817,1000,888.253429
189.451945,1000,907.888603
240.591455,1000,927.456631
219.643678,1000,945.103551
254.161297,1000,963.291269
242.034924,1000,982.032085
195.445799,1000,1001.787373
194.543264,1000,1019.749591
228.46498,1000,1036.619301
239.533541,1000,1056.93201
274.648098,1000,1080.309572
321.961289,1000,1102.229514
263.532761,1000,1123.709473
275.359774,1000,1146.368294
224.358776,1000,1167.087551
250.370835,1000,1187.94566
272.316864,1000,1209.112479
244.060643,1000,1229.703326
257.862715,1000,1250.563526
292.100084,1000,1271.378447
198.138497,1000,1291.387221
277.643835,1000,1311.831501
255.139013,1000,1332.899382
256.86947,1000,1354.13173
335.273443,1000,1376.638373
275.64222,1000,1398.315677
298.82623,1000,1420.988169
296.43012,1000,1443.034694
208.338538,1000,1464.404274
293.603051,1000,1485.565364
219.483094,1000,1505.888465
278.253955,1000,1524.773673
209.568534,1000,1543.603903
238.573652,1000,1562.830551
227.464379,1000,1582.288149
244.388662,1000,1601.58108
227.651598,1000,1620.602628
289.403751,1000,1639.566417
302.399081,1000,1658.427042
291.451898,1000,1677.667408
294.42242,1000,1697.35345
261.598367,1000,1715.935964
321.426406,1000,1753.724969
279.491529,1000,1773.875834
164.145061,1000,1792.919367
263.398263,1000,1812.064537
365.472048,1000,1830.395622
267.030507,1000,1849.880714
265.792567,1000,1869.273663
344.435024,1000,1888.504433
255.756146,1000,1909.294595
245.291959,1000,1928.4921
241.802174,1000,1948.813283
165.338325,1000,1969.702617
216.652772,1000,1990.277642
317.069636,1000,2009.056438
327.68029,1000,2028.277421
284.513737,1000,2048.000136
292.405808,1000,2066.785358
285.3867,1000,2085.86439
251.08421,1000,2104.52135
207.575786,1000,2123.749191
321.273211,1000,2142.325007
292.745037,1000,2160.851768
209.357951,1000,2179.767134
275.12858,1000,2199.200057
292.928778,1000,2216.764233
303.201872,1000,2233.14945
430.094145,1000,2250.957696
175.289633,1000,2267.66162
312.847849,1000,2284.54361
254.790635,1000,2301.208659
378.1858,1000,2317.899923
325.489038,1000,2334.715261
281.683951,1000,2352.004477
413.710987,1000,2368.61541
350.508959,1000,2385.445549
352.123917,1000,2402.493938
260.852515,1000,2419.091145
296.687838,1000,2435.865026
331.299599,1000,2452.905723
275.771356,1000,2469.520622
294.541841,1000,2486.610323
250.194413,1000,2503.497879
207.463388,1000,2520.413594
309.452618,1000,2536.937431
308.490426,1000,2553.86702
275.417648,1000,2570.717794
357.268834,1000,2587.554855
444.907731,1000,2604.066065
247.805222,1000,2620.703586
247.408269,1000,2637.842564
238.601159,1000,2654.562544
243.669777,1000,2671.012978
312.924299,1000,2687.821438
295.172979,1000,2704.708116
229.531652,1000,2721.365541
281.137648,1000,2738.554993
220.260123,1000,2755.351717
292.393831,1000,2771.826181
383.472952,1000,2788.893317
276.714645,1000,2805.871951
278.682704,1000,2822.672669
239.754051,1000,2839.313946
260.643467,1000,2856.479588
206.122157,1000,2873.729835
267.975689,1000,2890.402228
218.554495,1000,2907.178448
218.879521,1000,2924.037503
281.038966,1000,2940.957544
291.165354,1000,2956.541315
264.888831,1000,2973.559831
333.047189,1000,2990.411469
287.424129,1000,3007.335143
298.565484,1000,3024.066729
425.127825,1000,3040.420714
365.627533,1000,3057.527915
265.423299,1000,3073.892085
274.190731,1000,3090.592977
213.186095,1000,3107.647526
284.108448,1000,3124.187135
328.157696,1000,3140.949711
278.696192,1000,3157.542058
268.713018,1000,3174.095606
279.476504,1000,3190.665775
317.334893,1000,3207.144486
244.837634,1000,3224.132757
376.737847,1000,3241.406898
324.433943,1000,3258.436995
330.238405,1000,3275.318317
346.753186,1000,3292.025791
341.165612,1000,3307.793322
287.592821,1000,3324.204409
231.817354,1000,3340.804132
335.478245,1000,3357.901671
314.96244,1000,3374.723895
314.502625,1000,3392.067437
405.653015,1000,3408.88663
330.418964,1000,3425.541574
262.186613,1000,3442.159493
361.343715,1000,3459.11273
408.296938,1000,3475.98065
251.793854,1000,3492.967267
258.882634,1000,3509.689163
313.518843,1000,3540.566603
224.386594,1000,3557.431592
279.042094,1000,3574.028962
380.024991,1000,3591.030376
278.308433,1000,3607.689943
378.882423,1000,3624.188026
256.275187,1000,3640.963608
348.436104,1000,3657.788352
363.588377,1000,3674.849421
259.707211,1000,3691.028124
434.11408,1000,3707.817625
316.264658,1000,3724.818918
397.019975,1000,3741.452896
325.896934,1000,3758.565517
338.172114,1000,3775.298496
393.62655,1000,3792.238177
368.133406,1000,3809.347944
288.097888,1000,3826.201643
328.529235,1000,3843.076258
354.383273,1000,3860.21412
378.166052,1000,3877.161585
428.079524,1000,3893.837484
341.997952,1000,3910.567179
365.715513,1000,3927.490614
370.246979,1000,3944.350763
336.728753,1000,3960.887204
279.977193,1000,3977.695813
305.893509,1000,3994.514884
419.75343,1000,4011.366039
323.422386,1000,4027.712041
327.677353,1000,4043.778946
352.162365,1000,4060.445173
332.086005,1000,4077.382422
357.981472,1000,4094.250091
307.140391,1000,4111.363149
393.299499,1000,4127.967318
347.612597,1000,4144.689535
325.363754,1000,4161.396948
472.234226,1000,4178.208915
423.313747,1000,4195.038098
334.076361,1000,4211.738282
350.691641,1000,4228.269526
349.998487,1000,4245.196066
422.359011,1000,4262.155155
290.341207,1000,4278.829679
348.892877,1000,4295.929901
349.822234,1000,4312.486405
315.934424,1000,4329.270069
376.05907,1000,4345.889341
322.485599,1000,4362.337622
385.005112,1000,4378.816799
376.801078,1000,4394.614692
358.424987,1000,4411.076056
403.110543,1000,4428.138663
350.000703,1000,4444.925786
297.377352,1000,4461.640978
320.680554,1000,4478.336667
388.736253,1000,4495.220042
350.849483,1000,4512.479635
327.865888,1000,4529.556892
279.040014,1000,4546.340361
386.038982,1000,4563.399848
337.689498,1000,4580.002323
394.445299,1000,4596.582216
396.545595,1000,4613.48545
348.973168,1000,4630.098508
385.198982,1000,4647.172268
317.833019,1000,4664.006793
438.174541,1000,4680.910974
372.500719,1000,4697.656907
491.439064,1000,4714.728704
434.1582,1000,4731.853352
411.063697,1000,4748.706667
348.804986,1000,4765.062744
372.497596,1000,4781.953513
318.92995,1000,4798.749177
352.933635,1000,4815.797995
469.475877,1000,4832.594597
378.45016,1000,4849.637205
421.29007,1000,4866.465032
367.830031,1000,4883.254866
377.010924,1000,4899.666413
424.732593,1000,4916.74485
321.757943,1000,4933.284919
490.307836,1000,4949.735393
478.120245,1000,4966.362947
411.781197,1000,4983.403325
386.006775,1000,5000.275288
324.101195,1000,5016.874859
475.726254,1000,5033.637601
411.578605,1000,5050.274134
377.573107,1000,5068.106842
480.742773,1000,5085.965862
492.978302,1000,5104.957666
443.356727,1000,5120.845446
469.836118,1000,5137.63429
412.712458,1000,5154.50525
346.724596,1000,5171.083445
425.450079,1000,5188.135778
476.276704,1000,5204.82964
456.786067,1000,5221.677436
410.656518,1000,5238.620209
349.401042,1000,5255.445039
488.658899,1000,5286.960988
351.988707,1000,5304.054395
337.745785,1000,5320.568216
338.007802,1000,5337.605123
360.101614,1000,5354.670446
424.816613,1000,5371.848685
404.8495,1000,5388.672469
351.598633,1000,5405.409322
420.654256,1000,5422.694002
386.293926,1000,5439.432978
343.778777,1000,5456.288336
446.370804,1000,5473.338337
461.142639,1000,5489.324742
504.564961,1000,5506.083703
464.408804,1000,5522.742665
364.960994,1000,5539.655775
387.994583,1000,5556.615775
488.871216,1000,5573.539775
444.100164,1000,5590.30817
522.843935,1000,5606.974501
476.954075,1000,5624.092304
442.906619,1000,5640.943226
375.467219,1000,5658.029341
522.250715,1000,5674.461705
559.186631,1000,5691.415898
472.736323,1000,5708.175565
487.058034,1000,5725.240271
458.872731,1000,5742.276187
399.349957,1000,5758.997552
444.477024,1000,5776.048809
463.706825,1000,5793.009314
437.922318,1000,5810.501907
363.510883,1000,5827.247716
404.844606,1000,5844.20377
472.339725,1000,5860.241102
452.660659,1000,5877.346602
422.42107,1000,5894.451015
414.92215,1000,5911.48614
444.427462,1000,5929.053787
412.713802,1000,5945.630106
391.114963,1000,5962.393725
427.136622,1000,5979.475424
483.361921,1000,5996.065491
395.674331,1000,6013.257876
458.893325,1000,6030.136152
387.540126,1000,6047.439448
485.675503,1000,6064.567031
534.217555,1000,6081.126562
557.023883,1000,6097.996664
546.915552,1000,6114.849529
522.312398,1000,6132.09487
500.003804,1000,6149.323455
547.946202,1000,6166.09963
479.798794,1000,6182.796526
418.729313,1000,6199.558382
495.225103,1000,6215.560163
346.687392,1000,6232.484774
395.604262,1000,6249.076993
538.259458,1000,6265.656296
356.264143,1000,6282.428966
503.612802,1000,6299.851592
391.716287,1000,6316.685202
489.532725,1000,6333.637555
500.937101,1000,6350.869514
462.709758,1000,6368.016258
545.222522,1000,6384.605768
451.697317,1000,6401.407193
536.497976,1000,6418.292783
465.162657,1000,6434.871216
511.598379,1000,6451.605431
498.266157,1000,6468.645556
487.244076,1000,6485.313544
470.953444,1000,6502.182222
438.722439,1000,6519.118062
516.913098,1000,6536.066001
458.930722,1000,6552.876036
443.176826,1000,6568.805887
506.049936,1000,6585.512245
541.157759,1000,6602.358617
547.734631,1000,6619.32361
496.495603,1000,6636.08425
515.662718,1000,6652.778313
529.912245,1000,6669.560005
509.151709,1000,6686.801075
484.62173,1000,6704.131949
489.125633,1000,6721.373324
511.506222,1000,6738.16799
489.883826,1000,6755.023268
487.013814,1000,6771.929685
489.613949,1000,6789.05618
412.926881,1000,6806.12235
501.11857,1000,6822.98484
445.103315,1000,6840.040353
489.832882,1000,6857.103319
482.874133,1000,6873.912008
544.82758,1000,6890.794869
517.781229,1000,6908.097675
513.684775,1000,6925.289584
498.122412,1000,6941.343163
545.896869,1000,6958.288382
551.710342,1000,6975.393079
581.993653,1000,6992.715184
543.348043,1000,7024.597635
458.97534,1000,7041.793657
540.153684,1000,7058.672221
536.576933,1000,7075.741828
527.339566,1000,7092.30443
511.893482,1000,7109.311323
608.4714,1000,7126.464566
520.293881,1000,7142.858435
491.050337,1000,7160.029656
534.591633,1000,7177.124096
545.79513,1000,7194.523968
524.767044,1000,7211.443377
494.365127,1000,7228.586209
515.3797,1000,7245.259251
532.785281,1000,7262.076311
486.791352,1000,7278.725282
565.044936,1000,7295.924612
531.766245,1000,7312.065724
549.181792,1000,7328.827776
533.55524,1000,7345.337516
561.800321,1000,7362.202714
563.508882,1000,7378.944234
539.74989,1000,7395.755338
522.104786,1000,7412.298775
555.045777,1000,7429.368608
544.435817,1000,7446.061595
526.669488,1000,7463.565881
579.30089,1000,7480.360788
592.916922,1000,7497.172878
595.827445,1000,7514.095645
609.40583,1000,7531.313436
539.549674,1000,7548.474756
631.222587,1000,7565.688069
518.471135,1000,7582.488317
713.428223,1000,7599.190378
659.192338,1000,7615.913632
722.943398,1000,7632.611196
614.96659,1000,7649.173224
487.639233,1000,7665.088456
527.008465,1000,7682.047856
655.423113,1000,7698.910073
658.504368,1000,7715.397929
681.144186,1000,7732.502326
506.837878,1000,7749.220047
450.620951,1000,7766.151809
590.959937,1000,7782.957416
630.93953,1000,7799.698723
608.501567,1000,7816.55555
672.743054,1000,7833.435957
728.617494,1000,7850.461491
562.308214,1000,7867.605295
600.10899,1000,7884.396888
683.435106,1000,7901.059837
553.61942,1000,7917.763699
644.963962,1000,7934.917513
474.814106,1000,7952.110139
599.664492,1000,7968.998165
513.801311,1000,7985.62143
534.376867,1000,8002.642369
598.621546,1000,8019.924516
648.178933,1000,8036.102602
690.918419,1000,8052.934196
690.975389,1000,8069.802545
666.808417,1000,8087.023379
428.529132,1000,8103.993572
541.942245,1000,8120.334507
602.181678,1000,8137.13153
584.387168,1000,8153.924448
496.177487,1000,8170.577797
649.669938,1000,8187.324906
710.934735,1000,8204.327596
696.423685,1000,8221.026855
604.148929,1000,8237.820088
509.184119,1000,8254.92182
646.934912,1000,8271.715233
717.098443,1000,8288.735567
617.320052,1000,8305.785499
652.346083,1000,8322.400759
650.906192,1000,8339.331384
593.432612,1000,8356.251415
608.173565,1000,8372.771228
603.789132,1000,8389.544744
587.023057,1000,8406.476862
670.87572,1000,8423.258315
618.421094,1000,8440.204657
701.109482,1000,8456.807918
706.799162,1000,8473.701703
624.265285,1000,8490.930363
522.969359,1000,8508.135033
442.894467,1000,8525.274899
633.204228,1000,8542.317398
574.845985,1000,8559.324717
492.570356,1000,8576.544734
573.356172,1000,8593.219531
625.426532,1000,8610.118886
624.322816,1000,8626.897338
676.363759,1000,8644.170055
661.001608,1000,8661.098789
694.493628,1000,8678.089168
706.516983,1000,8695.111032
737.996306,1000,8712.273674
749.27178,1000,8729.217677
818.213744,1000,8745.360012
822.738678,1000,8777.824046
371.707264,1000,8794.699518
447.667147,1000,8811.716249
513.223143,1000,8828.581316
751.714157,1000,8845.368049
571.817553,1000,8862.139343
730.925922,1000,8879.175503
724.91539,1000,8896.062167
721.86547,1000,8912.922258
671.800808,1000,8929.854161
698.131164,1000,8947.043521
702.298453,1000,8963.794944
753.400497,1000,8980.570941
652.022131,1000,8997.240861
703.823676,1000,9014.267479
703.349095,1000,9031.325063
710.798304,1000,9047.857646
728.359839,1000,9064.693009
685.408934,1000,9081.448358
555.382811,1000,9098.929486
631.524979,1000,9115.823903
557.087606,1000,9132.173218
567.545216,1000,9149.193986
616.006078,1000,9165.72383
751.867138,1000,9182.727274
761.459982,1000,9199.669432
655.362573,1000,9216.539731
592.421092,1000,9233.198353
683.063353,1000,9249.987436
654.364904,1000,9267.072477
774.652401,1000,9283.925794
540.917195,1000,9300.985198
751.381493,1000,9318.633842
736.297522,1000,9335.8272
695.837976,1000,9352.603012
563.465265,1000,9369.712986
716.346693,1000,9386.610319
705.919233,1000,9403.689797
555.985791,1000,9421.119177
768.487289,1000,9437.832682
714.407014,1000,9455.025532
596.333316,1000,9471.876454
605.585167,1000,9487.666985
565.980258,1000,9504.690628
665.407581,1000,9522.440311
631.249247,1000,9539.533417
575.905718,1000,9556.470932
628.737112,1000,9573.462845
710.030671,1000,9590.995144
640.071964,1000,9608.45211
639.613358,1000,9625.109818
652.959109,1000,9641.80611
652.461579,1000,9658.659732
684.330959,1000,9675.822383
698.473331,1000,9692.569114
733.85634,1000,9709.140285
673.053265,1000,9726.682016
688.646737,1000,9743.43945
631.192851,1000,9760.379327
637.716204,1000,9777.25609
647.129019,1000,9794.22677
677.401895,1000,9811.195744
689.707771,1000,9827.940929
676.354568,1000,9844.246455
722.897444,1000,9861.143824
671.98577,1000,9878.123642
708.405245,1000,9895.057704
684.684947,1000,9912.368877
608.556928,1000,9929.161881
604.304413,1000,9946.264524
775.894281,1000,9963.176509
667.399282,1000,9980.209111
607.199929,1000,9997.436355
