# {"t_start": 1606763121.267965, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
292.639106,1000,1742.848366
230.036763,1000,3537.049975
524.833647,1000,5273.661266
561.510063,1000,7018.071796
808.829418,1000,8761.133065
729.956175,1000,10510.537243
770.742601,1000,12256.649137
842.535205,1000,14005.921246
240.644452,1000,15748.475733
840.190916,1000,17495.215224
820.751801,1000,19235.456404
271.298011,1000,20981.336354
196.105382,1000,22733.136596
701.365608,1000,24489.011263
609.546654,1000,26252.373849
233.975311,1000,28016.56848
730.910476,1000,29784.978082
657.232589,1000,31102.61067
806.892033,1000,32272.328931
772.01564,1000,33432.627337
726.964674,1000,34612.90719
60.853503,1000,248.904897
180.433727,1000,260.444717
231.634699,1000,272.228127
206.429894,1000,285.349825
216.149597,1000,297.227141
212.120004,1000,308.954316
250.182567,1000,320.820079
253.119215,1000,335.425658
188.993523,1000,350.821796
228.057747,1000,366.663378
250.108624,1000,383.553275
307.12358,1000,401.211067
249.683047,1000,418.119171
158.816798,1000,439.089456
143.666166,1000,457.031793
179.232286,1000,477.940274
239.798532,1000,498.725162
239.447575,1000,516.701801
209.462314,1000,534.966711
222.375177,1000,551.735289
219.774936,1000,569.625424
180.879073,1000,587.576199
243.124137,1000,605.486165
179.392003,1000,623.478586
211.160525,1000,641.184146
262.673452,1000,659.163869
187.682715,1000,677.30856
190.049515,1000,696.042058
202.722648,1000,716.903827
119.546741,1000,735.870862
135.531062,1000,753.869974
222.564183,1000,772.261653
204.879753,1000,793.581978
98.98523,1000,813.045556
231.29971,1000,832.85444
221.471336,1000,852.053409
195.489227,1000,870.354243
197.753987,1000,888.578152
175.197953,1000,908.223205
273.764827,1000,927.795646
249.30385,1000,945.427573
223.851804,1000,963.620781
206.429606,1000,982.37806
189.354042,1000,1002.116192
111.492455,1000,1020.081266
211.937821,1000,1036.945805
223.522631,1000,1057.273827
258.883511,1000,1080.649
242.512368,1000,1102.559071
292.112164,1000,1124.046348
234.026301,1000,1146.705954
217.858138,1000,1167.416816
267.459466,1000,1188.272718
293.186312,1000,1209.430944
235.577713,1000,1230.031383
272.736398,1000,1250.893324
241.367806,1000,1271.706389
231.994244,1000,1291.718087
284.71638,1000,1312.166762
338.633231,1000,1333.241973
236.505656,1000,1354.465725
226.485227,1000,1376.955297
334.342162,1000,1398.637869
283.329099,1000,1421.326882
241.866308,1000,1443.367504
247.9094,1000,1464.7438
327.436108,1000,1485.901676
174.595165,1000,1506.220682
365.955253,1000,1525.117994
179.837261,1000,1543.930177
216.113231,1000,1563.159281
264.970498,1000,1582.62936
362.665752,1000,1601.920678
315.729759,1000,1620.942726
267.5088,1000,1639.899173
315.691346,1000,1658.783916
282.021817,1000,1678.006558
308.220832,1000,1697.686325
242.876239,1000,1716.275555
282.019927,1000,1754.058239
240.439049,1000,1774.222984
347.708646,1000,1793.24142
252.674969,1000,1812.393659
262.821767,1000,1830.744252
266.398882,1000,1850.227081
265.053559,1000,1869.604397
281.48362,1000,1888.858705
290.862125,1000,1909.633392
230.39131,1000,1928.831398
242.730225,1000,1949.148301
302.297855,1000,1970.028559
286.835149,1000,1990.612721
241.559592,1000,2009.395417
228.283704,1000,2028.60739
222.846868,1000,2048.347644
374.753535,1000,2067.111373
301.288904,1000,2086.200344
242.975266,1000,2104.85495
249.370159,1000,2124.082791
411.446063,1000,2142.659813
266.336359,1000,2161.181916
255.846606,1000,2180.110516
233.525963,1000,2199.522331
204.690645,1000,2217.090813
312.977664,1000,2233.484113
261.203467,1000,2251.290879
182.550767,1000,2267.987641
267.190981,1000,2284.876528
250.614019,1000,2301.534201
263.402555,1000,2318.226268
329.288634,1000,2335.040278
239.752641,1000,2352.322576
432.37629,1000,2368.941136
247.122874,1000,2385.77997
262.095856,1000,2402.820782
433.45754,1000,2419.420674
362.123726,1000,2436.190773
222.663601,1000,2453.232285
329.992705,1000,2469.848844
203.248361,1000,2486.936855
273.373189,1000,2503.822707
313.452807,1000,2520.7332
400.934381,1000,2537.265458
382.149706,1000,2554.191893
240.065329,1000,2571.038926
284.508693,1000,2587.872242
253.36439,1000,2604.396589
381.787881,1000,2621.032205
302.887765,1000,2638.169121
346.237741,1000,2654.889335
257.011167,1000,2671.343815
305.302101,1000,2688.150349
315.366674,1000,2705.032463
253.824843,1000,2721.696617
229.336255,1000,2738.885707
285.921575,1000,2755.682511
365.749715,1000,2772.149611
286.430773,1000,2789.211401
254.371611,1000,2806.194776
270.45283,1000,2823.000119
256.162213,1000,2839.64255
222.046366,1000,2856.809772
220.039502,1000,2874.05276
251.081981,1000,2890.72578
301.549847,1000,2907.505269
342.478843,1000,2924.36237
287.666653,1000,2941.287327
309.502263,1000,2956.865913
247.958129,1000,2973.8858
340.153018,1000,2990.740773
343.639274,1000,3007.656586
332.553344,1000,3024.39549
257.100645,1000,3040.74203
431.720039,1000,3057.860463
363.848631,1000,3074.22645
277.902885,1000,3090.919258
264.435608,1000,3107.967023
291.742313,1000,3124.517533
391.641592,1000,3141.281603
277.6157,1000,3157.867926
332.722322,1000,3174.412348
305.406371,1000,3190.996974
342.801392,1000,3207.471615
310.465077,1000,3224.464823
342.995256,1000,3241.731044
