# {"t_start": 1606583680.592316, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
257.268463,1000,1696.788178
312.161011,1000,3563.580101
345.512486,1000,5489.352174
504.450615,1000,7244.708452
501.727602,1000,9032.603678
608.604831,1000,10818.340312
648.604617,1000,12598.574437
657.942982,1000,14379.590908
698.207502,1000,16156.9498
678.996224,1000,17940.120939
767.987091,1000,19721.495765
439.259608,1000,21510.340377
843.872517,1000,23292.116512
737.936212,1000,25083.271938
610.334395,1000,26869.778067
615.854902,1000,28658.177609
371.654531,1000,30441.815613
714.571724,1000,32225.210014
633.567176,1000,34002.121418
818.508453,1000,35770.940063
738.631036,1000,37523.501228
832.401834,1000,39280.299735
681.957163,1000,41030.045016
644
224.477823,1000,411.668787
218.430313,1000,428.675195
169.235133,1000,446.59306
179.315381,1000,463.885959
235.976389,1000,481.278804
176.205024,1000,498.594296
160.820259,1000,515.567143
309.137235,1000,532.114287
191.53317,1000,548.633252
212.814184,1000,565.407638
187.797421,1000,582.235889
210.635352,1000,599.081423
180.88125,1000,615.433669
252.850172,1000,632.081004
204.728117,1000,648.80447
245.985193,1000,665.496123
211.063094,1000,681.763958
191.63321,1000,697.242384
198.885025,1000,713.876544
232.396275,1000,730.796184
241.984424,1000,747.794058
323.750365,1000,764.50905
219.308864,1000,781.00277
138.074565,1000,797.582649
164.191166,1000,813.87046
253.723183,1000,829.846128
194.055943,1000,845.871942
254.646784,1000,862.734651
273.703553,1000,879.584667
197.116198,1000,896.277966
179.278621,1000,912.508811
199.666117,1000,929.111708
181.937111,1000,945.830925
220.1622,1000,962.471091
166.427206,1000,978.797181
171.034766,1000,995.619773
259.372582,1000,1012.196973
177.430316,1000,1028.911764
203.585584,1000,1044.381217
259.944824,1000,1061.491651
189.124661,1000,1077.61498
231.545021,1000,1094.054955
241.455286,1000,1110.866624
283.707953,1000,1127.740238
256.038418,1000,1144.253066
250.363095,1000,1160.923911
276.572403,1000,1177.352675
260.115164,1000,1193.967921
279.126925,1000,1210.818745
235.74343,1000,1227.499349
226.107289,1000,1244.394687
228.586496,1000,1261.208751
183.163727,1000,1278.156679
219.982117,1000,1294.409091
